bedrooms,community,drive,latitude,longitude,lotDepth,lotFront,parkingSpaces,price,room1,room4,room6,rooms,rooms1square,rooms2square,rooms3square,rooms4square,rooms5square,rooms6square,daysOnMarket,buildingTypeId
6,53,8,43.7595429,-79.2604235,110.0,30.0,13,645000.0,16,18,2,8.0,15.98,9.666,13.9385,13.9385,9.875,9.1425,15,3
6,131,9,43.5137519,-79.6498459,125.0,50.0,15,778800.0,16,18,6,6.0,19.4274,8.64,19.4722,15.124,14.328,8.4118,26,3
6,414,8,43.977229,-78.61513149999998,132.0,82.0,15,459900.0,12,20,1,9.0,18.2721,17.967,27.903000000000002,9.0,14.1932,8.22,46,3
4,120,8,43.7310691,-79.7470633,114.83,39.37,15,649900.0,13,18,2,6.0,11.0143,11.0558,15.409999999999998,16.52,10.585999999999999,8.140500000000001,15,3
5,181,8,43.696053000000006,-79.3202155,105.0,31.0,17,1499900.0,16,10,1,8.0,29.0864,10.5225,10.5996,27.404,18.9658,12.8633,16,3
4,401,8,43.6973312,-79.2715134,118.0,25.0,10,774900.0,16,18,2,6.0,10.89,10.89,13.8,11.05,7.975,7.25,9,3
4,46,8,44.011336,-79.4529955,108.27,22.9,2,739000.0,16,7,20,7.0,13.1784,12.444,6.6856,5.9536,13.792099999999998,17.352999999999998,28,3
7,353,8,43.8477791,-79.28429100000002,135.0,38.46,13,1298000.0,16,13,20,11.0,13.509,14.9285,16.461499999999994,23.6032,9.009,28.605600000000006,61,3
8,527,8,43.77053,-79.742463,87.79,44.95,15,919900.0,13,16,1,10.0,17.755,18.6136,11.254499999999998,11.122,20.9496,12.5829,15,3
4,581,9,44.025662,-79.808465,120.0,53.85,18,587777.0,16,18,15,8.0,18.0972,10.95,15.015200000000002,15.54,10.95,10.05,35,3
5,46,9,44.0262377,-79.45013929999998,144.59,41.62,15,1388000.0,16,10,20,10.0,12.935,13.0975,26.862,18.128,11.7504,28.538200000000003,18,3
5,64,8,43.9062776,-78.9091762,110.0,58.0,18,724900.0,13,16,20,8.0,12.8466,8.5644,12.8466,26.496,23.716800000000006,17.8608,16,3
6,14,8,44.157184,-79.790224,120.0,40.0,15,779000.0,13,9,20,8.0,10.5216,10.5216,20.8376,14.1035,7.178800000000002,23.5907,22,3
4,116,8,43.8526199129702,-79.0322569012642,100.0,40.0,17,575000.0,13,18,2,5.0,17.060200000000002,12.4475,22.046,17.5945,9.424499999999998,7.8336000000000015,14,3
7,347,8,43.8323868,-79.2716063,143.7,30.02,15,879900.0,16,10,1,8.0,26.565,17.08,16.3175,15.91,27.84,11.025,35,3
5,438,9,44.1096769,-78.9615562,106.41,41.09,15,729500.0,16,7,1,8.0,17.628,12.3795,7.9929000000000014,9.309,15.946000000000002,11.3876,63,3
5,170,8,43.8814356,-78.9276088,102.0,55.0,13,549900.0,16,18,2,6.0,26.0144,25.9686,14.535,12.5125,8.612499999999999,8.399999999999999,22,3
4,637,8,43.675937,-79.3196068,99.5,21.5,15,739900.0,16,5,1,6.0,12.545,11.832,16.7968,2.73,15.287399999999998,9.3624,8,3
5,480,9,43.7431348,-79.8169462,123.13,54.42,15,979900.0,16,7,16,11.0,16.3968,13.742399999999998,22.0908,22.0908,16.4783,6.3954,6,3
4,376,8,43.9184505,-78.5998666,105.18,39.37,10,549900.0,13,16,1,8.0,11.345999999999998,10.5042,17.4,13.9446,17.900999999999996,10.452,34,3
5,332,8,43.71207879999999,-79.75099990000002,100.0,30.0,13,659400.0,16,18,2,6.0,17.1648,9.2338,19.2355,13.816999999999998,12.190499999999998,8.28,8,3
4,454,3,43.667844,-79.4933573,110.0,25.0,2,650000.0,16,1,2,9.0,11.1,12.455,8.3875,7.755,15.1725,7.755,56,3
6,78,8,43.70415300000001,-79.7616511,100.0,20.0,13,434900.0,16,18,2,6.0,14.884,6.5455000000000005,9.6624,13.668,9.8889,6.5455000000000005,7,6
5,150,8,43.908718,-78.69190959999997,101.8,57.64,15,724900.0,16,7,1,9.0,16.738400000000002,16.136699999999998,16.4892,16.4892,18.0588,13.2398,51,3
5,595,8,43.8605816,-79.5500045,82.25,21.62,13,899900.0,16,7,1,7.0,22.4,9.6,16.659200000000002,9.6,19.4682,10.64,44,3
4,318,8,44.2748034,-79.5389393,155.0,46.0,18,375000.0,16,18,8,4.0,22.1613,0.0,0.0,10.065,14.04,7.727999999999999,47,3
5,130,8,43.5240159,-79.8590658,85.0,30.0,10,689000.0,16,13,20,8.0,21.4323,21.4323,7.7824,7.7824,14.661,19.711800000000004,10,3
5,362,8,43.777488700000006,-79.21870990000002,118.0,40.0,15,659900.0,16,18,2,8.0,16.8505,7.507600000000001,9.2612,12.2275,10.8504,10.001,4,3
7,408,8,43.5314701,-80.23611770000002,96.88,68.0,15,730000.0,16,30,1,8.0,27.865800000000004,8.89,11.6466,16.77,13.386,9.246,40,3
