index,longitude,latitude,province,price,tradeTypeId,buildingTypeId,bedrooms,bathroomTotal,daysOnMarket,ownerShipType,predictions
15141,-79.8712863,43.6309896,Ontario,799999.0,1,3,4,4,71,Freehold,29.9918270111084
15142,-79.4320163,43.8391029,Ontario,4000.0,2,3,4,4,21,Freehold,30.73388671875
15143,-79.8997007,43.2660174,Ontario,524900.0,1,3,6,2,25,Freehold,36.59492492675781
15144,-81.166706,42.806472,Ontario,399900.0,1,3,3,3,35,Freehold,30.10819435119629
15145,-79.8005890846252,43.17515208399821,Ontario,715000.0,1,3,3,3,82,Freehold,46.19231033325195
15146,-79.3953912,43.71158670000001,Ontario,2200.0,2,1,2,1,5,Condominium/Strata,15.652364730834961
15147,-80.290238,43.540846,Ontario,409900.0,1,3,4,2,12,Freehold,24.788122177124023
15148,-79.7350118,43.8990524,Ontario,679000.0,1,3,3,4,69,Freehold,35.50289535522461
15149,-79.4099902,43.7656853,Ontario,457827.0,1,1,1,1,17,Condominium/Strata,27.700618743896484
15150,-79.4693805,44.2187717,Ontario,698000.0,1,3,4,2,47,Freehold,43.82939147949219
15151,-79.6401262,43.5881304,Ontario,524900.0,1,1,3,2,13,Condominium/Strata,28.947174072265625
15152,-79.695379,44.378391,Ontario,1350.0,2,1,2,1,103,Freehold,38.24420928955078
15153,-80.012897,45.928061,Ontario,227000.0,1,3,3,1,75,Freehold,64.57462310791016
15154,-75.663765,45.343122,Ontario,2000.0,2,6,3,4,4,Freehold,31.320175170898438
15155,-80.493382,43.381856,Ontario,350000.0,1,6,2,2,3,Freehold,26.386049270629883
15156,-79.7575708,43.5794223,Ontario,315000.0,1,1,2,1,16,Condominium/Strata,28.345626831054688
15157,-79.25417009999998,43.7902009,Ontario,2200.0,2,1,3,2,3,Condominium/Strata,20.972888946533203
15158,-79.779061,43.680736,Ontario,549000.0,1,3,3,1,39,Freehold,26.478160858154297
15159,-79.2667515,43.8962561,Ontario,2200.0,2,6,4,3,9,Freehold,23.951627731323242
15160,-79.61542779999998,43.7246581,Ontario,440000.0,1,1,2,2,29,Condominium/Strata,28.513763427734375
15161,-79.09249,43.091695,Ontario,340900.0,1,1,1,1,13,Condominium,38.56258773803711
15162,-79.40146429999999,43.6575473,Ontario,569000.0,1,1,2,1,32,Condominium/Strata,26.620004653930664
15163,-79.6479385,43.5895049,Ontario,325000.0,1,1,0,1,43,Condominium/Strata,34.997623443603516
15164,-79.32937,45.571432,Ontario,279900.0,1,3,4,2,61,Freehold,64.05365753173828
15165,-79.4727395,43.84508870000001,Ontario,2950.0,2,3,4,3,29,Freehold,26.79744529724121
15166,-79.413783,43.7696635,Ontario,2400.0,2,1,1,1,51,Condominium/Strata,18.96532440185547
15167,-79.3841302,43.6618821,Ontario,895000.0,1,1,2,2,32,Condominium/Strata,27.76043128967285
15168,-79.5442986475246,44.291996162326896,Ontario,799000.0,1,3,4,4,40,Freehold,48.02305603027344
15169,-79.6309547,43.5890166,Ontario,1850.0,2,1,2,1,6,Condominium/Strata,17.400972366333008
15170,-79.8295037,43.7185561,Ontario,559000.0,1,3,3,3,16,Freehold,26.880189895629883
15171,-79.08044,43.246859,Ontario,2600.0,2,3,2,3,69,Freehold,37.369789123535156
15172,-79.271807,43.7336519,Ontario,2100.0,2,3,3,1,29,Freehold,22.23442268371582
15173,-79.625857,44.328508,Ontario,599000.0,1,3,5,3,19,Freehold,42.54422378540039
15174,-79.787471,44.739699,Ontario,419900.0,1,3,2,2,245,Freehold,44.82718276977539
15175,-79.4078925,43.7601352,Ontario,3000.0,2,1,2,2,58,Condominium/Strata,21.407447814941406
15176,-83.099377,42.228703,Ontario,399000.0,1,19,3,2,10,Freehold,38.12560272216797
