longitude,latitude,price,buildingTypeId,style,airConditioning,washrooms,basement1,cableTVIncluded,cacIncluded,familyRoom,fireplaceStove,heatSource,garageType,heatType,kitchens,parkingSpaces,parkingIncluded,room1,room1Length,room1Width,room2,room2Length,room2Width,room3,room3Length,room3Width,room4,room4Length,room4Width,room5,room5Length,room5Width,rooms,streetDirection,waterIncluded,totalParkingSpaces,daysOnMarket,bedrooms
-79.32591540000001,43.8564871,1750.0,1,4,0,1.0,0,1,2,0,0,1,7,2,1.0,1.0,2,17,3.65,3.05,9,3.65,3.05,13,3.05,2.45,5,3.6,2.95,8,2.7,2.5,5.0,0,1,1.0,8,2.0
-79.7837583,43.6938484,597900.0,3,2,0,3.0,3,0,0,0,0,1,1,2,1.0,2.0,0,17,5.1,4.91,9,5.1,4.91,13,5.1,2.65,6,5.1,2.65,21,5.52,4.52,5.0,0,0,3.0,63,4.0
-79.8032436,43.93430479999999,1569000.0,3,2,0,5.0,2,0,0,1,1,1,0,2,1.0,10.0,0,17,4.38,3.9,9,3.96,3.96,13,4.42,4.05,6,3.2,3.41,14,6.82,5.94,10.0,0,0,12.0,39,5.0
-79.20997879999999,43.7664476,750000.0,3,14,0,2.0,6,0,0,0,0,1,0,2,1.0,1.0,0,17,5.1,2.99,9,5.1,2.99,13,5.18,2.08,13,3.35,2.51,21,4.09,3.43,6.0,0,0,2.0,15,3.0
-79.54955600000002,43.83763370000001,850000.0,6,2,0,4.0,3,0,0,1,0,1,0,2,1.0,5.0,0,17,6.09,3.34,9,6.09,3.34,13,6.4,3.2,6,3.34,3.2,21,4.66,3.27,9.0,0,0,6.0,44,3.0
-79.33773240000002,43.7496345,3680.0,3,9,0,3.0,3,1,2,0,1,1,0,2,1.0,5.0,2,17,5.99,3.73,9,3.26,3.44,13,4.54,3.17,17,4.54,3.82,0,3.18,3.0,6.0,0,1,5.0,49,3.0
-79.33773240000002,43.7496345,3680.0,3,9,0,3.0,3,1,2,0,1,1,0,2,1.0,5.0,2,17,5.99,3.73,9,3.26,3.44,13,4.54,3.17,17,4.54,3.82,0,3.18,3.0,6.0,0,1,5.0,49,6.0
-79.83031329999999,43.6778046,709900.0,3,2,0,3.0,4,0,0,1,0,1,0,2,1.0,1.0,0,11,4.44,4.7,16,3.74,4.51,8,4.29,3.16,12,3.1,4.02,6,2.56,2.92,9.0,0,0,2.0,15,4.0
-79.37091240000002,43.6493411,639000.0,1,2,0,2.0,6,1,2,0,0,1,7,2,1.0,1.0,2,17,4.21,3.02,9,3.35,3.08,13,2.68,2.02,17,5.14,3.03,8,3.06,2.99,5.0,1,2,1.0,8,2.0
-79.37091240000002,43.6493411,639000.0,1,2,0,2.0,6,1,2,0,0,1,7,2,1.0,1.0,2,17,4.21,3.02,9,3.35,3.08,13,2.68,2.02,17,5.14,3.03,8,3.06,2.99,5.0,1,2,1.0,8,2.0
-79.2575808,43.8410234,1346000.0,3,2,0,4.0,3,0,0,1,1,1,0,2,1.0,6.0,0,17,3.35,6.71,10,3.35,6.4,8,3.05,4.27,12,5.94,3.35,21,3.35,6.4,10.0,0,0,8.0,39,6.0
-80.3190010786057,43.8968396847931,449000.0,6,2,0,3.0,4,1,1,0,1,1,1,2,1.0,1.0,2,13,6.48,3.58,9,6.48,3.58,13,3.69,3.62,17,4.11,3.45,0,3.63,3.45,8.0,0,1,2.0,20,4.0
-79.4383045,43.7907,998000.0,3,2,0,3.0,3,0,0,1,0,1,5,2,1.0,3.0,0,17,5.1,4.4,9,3.38,2.27,13,4.46,3.04,17,3.52,3.78,0,3.03,3.1,7.0,0,0,3.0,43,5.0
